,Tennessee_Peaks,Tennessee_Hourly
July,,
August,0.8509070273276826,0.9777440789499108
September,0.9601792322680676,0.986672259171409
October,0.9351312574103988,
November,0.8954471702941524,
December,0.9601971937637112,0.9434363617756067
January,0.9680558275715936,0.9619113371866345
February,,
March,0.9428056626520042,
April,0.3338501793323713,0.9128209145516681
May,0.9577152178314094,0.9785836120642087
June,0.804184797899194,
