,Texas_Peaks,Texas_Hourly
July,,
August,0.8871566668890161,0.9751471765832971
September,0.9159639538013052,0.9775276003459776
October,0.9550831589091612,0.9730947507707586
November,,
December,0.8898820378177895,0.9290393466256264
January,0.9409372589135413,0.9334715281006016
February,0.8417788244235107,0.8373268248722544
March,0.9290840920484864,0.9515353177505462
April,0.9219535558367921,0.9618946634633259
May,0.8799164649672463,0.9583975721229068
June,0.8760042878912605,0.9710154374437943
